101178;PT;Lisbon;PORTUGAL;Consultant;UNIX;C++;Analyst Programmer;Open Ended Contract;Permanent Staff
106106;PT;Lisbon;PORTUGAL;Consultant;UNIX;C++;Business Analyst;Open Ended Contract;Permanent Staff
106140;VODAFONE;Lisbon;PORTUGAL;Consultant;WINDOWS;C#;Analyst Programmer;Temporary Employee;Temporary Staff
107192;ALCATEL;Lisbon;PORTUGAL;Consultant;WINDOWS;PL SQL;Analyst Programmer;Open Ended Contract;Permanent Staff
107250;BNP PARIBAS;Lisbon;PORTUGAL;Consultant;WINDOWS;JAVA;Tester;Open Ended Contract;Permanent Staff
108402;ZON;Lisbon;PORTUGAL;Consultant;OSX;OBJECTIVE C;Analyst Programmer;Open Ended Contract;Permanent Staff
108876;PT;Lisbon;PORTUGAL;Consultant;SOLARIS;PL SQL;Tester;Open Ended Contract;Permanent Staff
109066;B-ON;Lisbon;PORTUGAL;HR;;;Recruting;Open Ended Contract;Permanent Staff
109186;BNP PARIBAS;Paris;FRANCE;Consultant;AS400;RPG;Analyst Programmer;Open Ended Contract;Permanent Staff
109239;BNP PARIBAS;Lisbon;PORTUGAL;Consultant;WINDOWS;JAVA;Tester;Open Ended Contract;Permanent Staff
109317;PT;Lisbon;PORTUGAL;Consultant;OSX;OBJECTIVE C;Analyst Programmer;Open Ended Contract;Permanent Staff
109726;BES;Lisbon;PORTUGAL;Consultant;SOLARIS;PL SQL;Tester;Open Ended Contract;Permanent Staff
109864;I2S;Porto;PORTUGAL;Consultant;WINDOWS;C#;Analyst Programmer;Open Ended Contract;Permanent Staff
110180;PT GOV;Lisbon;PORTUGAL;Consultant;WINDOWS;PL SQL;Analyst Programmer;Open Ended Contract;Permanent Staff
110383;WIREMAZE;Porto;PORTUGAL;Consultant;WINDOWS;JAVA;Tester;Open Ended Contract;Permanent Staff
110641;B-ON;Lisbon;PORTUGAL;HR;;;Recruting;Open Ended Contract;Permanent Staff
110835;B-ON;Lisbon;PORTUGAL;Manager;;;Manager of Consultants;Open Ended Contract;Permanent Staff
111044;PT;Lisbon;PORTUGAL;Consultant;WINDOWS;PL SQL;Analyst Programmer;Open Ended Contract;Permanent Staff
111241;PT;Lisbon;PORTUGAL;Consultant;WINDOWS;JAVA;Tester;Open Ended Contract;Permanent Staff
111274;VODAFONE;Lisbon;PORTUGAL;Consultant;OSX;OBJECTIVE C;Analyst Programmer;Open Ended Contract;Permanent Staff
111278;ALCATEL;Lisbon;PORTUGAL;Consultant;AS400;RPG;Analyst Programmer;Open Ended Contract;Permanent Staff
111318;BNP PARIBAS;Lisbon;PORTUGAL;Consultant;WINDOWS;JAVA;Tester;Open Ended Contract;Permanent Staff
111334;ZON;Lisbon;PORTUGAL;Consultant;OSX;OBJECTIVE C;Analyst Programmer;Open Ended Contract;Permanent Staff
111340;PT;Lisbon;PORTUGAL;Consultant;SOLARIS;PL SQL;Tester;Open Ended Contract;Permanent Staff
111349;B-ON;Lisbon;PORTUGAL;Manager;;;Manager of Consultants;Open Ended Contract;Permanent Staff
111420;BNP PARIBAS;Paris;FRANCE;Consultant;WINDOWS;PL SQL;Analyst Programmer;Open Ended Contract;Permanent Staff
